"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20100000169268,2010-05-22,2307,2010-05-22,2307,"NARCOTIC",NA,"WEST","Q","Q3","SLU/CASCADE"
20180000907908,2018-08-28,920,2018-08-28,1347,"CAR PROWL","THEFT-CARPROWL","NORTH",NA,"J1","BALLARD NORTH"
20100000900317,2010-07-19,2200,2010-07-22,2059,"CAR PROWL","THEFT-CARPROWL","NORTH","L","L3",NA
20150000254054,2015-07-24,NA,2015-07-24,1047,"CAR PROWL",NA,"EAST","C","C3","MADISON PARK"
20150000399397,2015-11-15,1400,2015-11-15,1737,"THEFT-ALL OTHER","THEFT-OTH","WEST","Q","Q3","QUEEN ANNE"
20110000287164,2011-08-31,1838,2011-08-31,1838,"THEFT-ALL OTHER","THEFT-OTH","NORTH","J","J2","BALLARD NORTH"
20180000177727,2018-05-18,303,2018-05-18,303,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-GUN",NA,"W","W2","ALASKA JUNCTION"
20090000166408,2009-05-15,2000,2009-05-16,1259,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","NORTH",NA,"J3","ROOSEVELT/RAVENNA"
20180000302480,2018-08-11,2100,2018-08-14,NA,NA,"THEFT-CARPROWL","WEST","D","D3","SLU/CASCADE"
2009000067972,2009-02-24,1930,2009-02-25,517,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","EAST","G","G2","CENTRAL AREA/SQUIRE PARK"
20080000213859,2008-06-13,1615,2008-06-13,1800,"CAR PROWL","THEFT-CARPROWL",NA,"Q","Q3","SLU/CASCADE"
20100000187730,NA,2300,2010-06-04,2300,"DUI","DUI-LIQUOR","WEST","Q","Q1","MAGNOLIA"
20080000177113,2008-05-12,NA,2008-05-17,1100,"CAR PROWL",NA,"EAST","C","C1","MONTLAKE/PORTAGE BAY"
20160000906288,2016-09-16,100,2016-09-17,1407,NA,"THEFT-CARPROWL","WEST","D","D3","EASTLAKE - WEST"
NA,2015-02-20,0,2015-02-25,807,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","EAST","E","E1",NA
20180000260510,2018-07-14,2000,2018-07-15,1655,NA,"THEFT-OTH","WEST","M","M1","DOWNTOWN COMMERCIAL"
20140000325521,2014-09-28,1800,2014-09-29,752,"MOTOR VEHICLE THEFT",NA,"SOUTHWEST","F","F3","HIGHLAND PARK"
20120000398451,NA,2129,2012-11-20,2129,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","NORTH","N","N1","BITTERLAKE"
20130000122473,2013-04-12,730,2013-04-12,739,"FAMILY OFFENSE-NONVIOLENT","CHILD-OTHER",NA,NA,"J2",NA
20170000900092,2017-01-04,1240,2017-01-04,1355,"CAR PROWL","THEFT-CARPROWL","NORTH","L","L2","NORTHGATE"
2018000086351,2018-03-10,706,2018-03-10,706,"DUI","DUI-DRUGS","NORTH","N","N2","NORTHGATE"
2014000027187,2014-01-24,2345,2014-01-25,1249,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","NORTH","U","U2","UNIVERSITY"
20090000126089,2009-04-14,NA,2009-04-14,2108,"PROSTITUTION","PROSTITUTION PATRONIZING","WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
2017000039324,2017-02-01,1515,2017-02-01,NA,"PROSTITUTION","PROSTITUTION PATRONIZING","WEST","M","M2","SLU/CASCADE"
20160000102815,2016-03-24,2150,2016-03-24,2221,"THEFT-BUILDING","THEFT-BUILDING","SOUTH","O","O3","GEORGETOWN"
20180000292291,2018-08-07,1135,NA,1144,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
20150000113999,2015-04-07,1955,2015-04-07,2000,NA,"PROSTITUTION","SOUTH",NA,"R1","NORTH BEACON HILL"
2015000073783,2015-03-04,1900,2015-03-05,2047,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","EAST","G","G1","FIRST HILL"
NA,2015-08-11,1100,2015-08-15,1344,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","EAST",NA,"G3",NA
20150000292986,2015-08-22,1016,2015-08-22,1019,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","U","U2","UNIVERSITY"
20090000400290,2009-11-12,2200,2009-11-16,1752,"CAR PROWL","THEFT-CARPROWL",NA,"L","L1","LAKECITY"
20140000139809,2014-05-06,830,NA,1345,"THEFT-BICYCLE","THEFT-BICYCLE","EAST","C","C1","CAPITOL HILL"
2016000056130,2016-02-16,909,2016-02-16,1002,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
NA,2017-11-20,1541,2017-11-20,1615,"TRESPASS","TRESPASS","WEST","M","M3","DOWNTOWN COMMERCIAL"
20170000355868,2017-09-23,1900,2017-09-24,1339,"BURGLARY-COMMERCIAL-SECURE PARKING","BURGLARY-SECURE PARKING-NONRES","NORTH","J","J3","ROOSEVELT/RAVENNA"
